"Applicant Name,Email,Phone,Domain Applied,University,Application Date,Status"
"Christine Armstrong,gcarroll@example.net,8832994722x1962,Mobile App,Knapp-Lewis University,2026-07-19,Selected"
"Jack Mendoza,ssingleton@example.net,(329)4580684x748,UI/UX Design,Lewis-Gonzalez University,2026-07-19,Rejected"
"Sandra Sullivan,benjaminmorales@example.com,847.296.8750,AI/ML,Garcia Plc University,2026-07-19,Under Review"
"Nicole Allen PhD,austin07@example.com,7096079057,UI/UX Design,""Diaz, Day And Macdonald University"",2026-07-19,Under Review"
"Julia Baker,jorgemaxwell@example.net,8322505907,Data Science,Hall-Rodgers University,2026-07-19,Under Review"
"Ronald Tucker,nicholas76@example.org,413350702873542,UI/UX Design,Holt Plc University,2026-07-19,Selected"
"Alyssa Stokes,jessicawang@example.com,8316384019904,UI/UX Design,Douglas Inc University,2026-07-19,Under Review"
"Joann Perkins,qbush@example.org,4159160052392,Data Science,""Mendoza, Davis And Schmitt University"",2026-07-19,Rejected"
"Nathan Reese,mhernandez@example.com,+15542141894,UI/UX Design,Stevens Plc University,2026-07-19,Under Review"
"Kristin Tucker,fhart@example.com,7145027641,Mobile App,Clarke Plc University,2026-07-19,Selected"
"Eric Cooper,daniel11@example.net,324.930.9923x8973,Mobile App,""Vargas, Patton And Navarro University"",2026-07-19,Under Review"
"Hannah Williams,maria65@example.net,717.691.4101x06316,UI/UX Design,""Esparza, Green And Nguyen University"",2026-07-19,Under Review"
"Richard Lee,amypatel@example.net,+14208370037x53479,Data Science,Wilson Ltd University,2026-07-19,Rejected"
"Sean Brown,amccarthy@example.net,8233410423x187,AI/ML,Chapman-Smith University,,Rejected"
"Anne Rowland,uwhitaker@example.com,9603290272,UI/UX Design,""Alvarez, Johnson And Ortega University"",,Rejected"
"Lisa Clark,kpineda@example.org,3428468299x5817,AI/ML,Ramirez-Sloan University,,Selected"
"Mark Dorsey,careychristina@example.com,0013828842730,AI/ML,""Turner, Howell And Edwards University"",,Selected"
"Abigail Smith,cynthia18@example.net,+15034630582x6109,UI/UX Design,""Nichols, Padilla And Cantu University"",,Under Review"
"William Flores,debra95@example.org,(275)8782538,Data Science,Foster Ltd University,,Rejected"
"Brittany Bowen,ishaw@example.com,(777)7955478,Mobile App,""Anderson, Butler And Ford University"",2026-07-19,Under Review"
"Ashley Park,angelaphillips@example.org,5079495706,Web Development,Carter Inc University,2026-07-19,Under Review"
"Rhonda Diaz,charles13@example.com,0012986232494x23857,Data Science,Mitchell Ltd University,2026-07-19,Rejected"
"Christopher Williams,ujohnson@example.com,824.276.0410x22158,Data Science,Benton-Valdez University,2026-07-19,Rejected"
"John George,yday@example.org,0012303991319x04047,Mobile App,Brown Plc University,2026-07-19,Rejected"
"Justin Alexander,marywilson@example.com,0015584203319x3779,Mobile App,Mit,2026-07-19,Rejected"
"Kim Smith,richard65@example.com,514.466.7985x5021,Mobile App,Mit,2026-07-19,Rejected"
"Rebecca Collins,william90@example.com,0016254950187x909,UI/UX Design,Mit,2026-07-19,Rejected"
"Valerie Brown,frankglass@example.net,5765480377x999,Web Development,Massachusetts Institute Of Technology,2026-07-19,Rejected"
"Daniel Wilson,davismartin@example.org,5313705540x7696,Web Development,Massachusetts Institute Of Technology,2026-07-19,Rejected"
"Michelle Caldwell,millergeorge@example.net,0013122825406x290,AI/ML,Massachusetts Institute Of Technology,2026-07-19,Selected"
"Heather Dominguez,heatherhester@example.net,7832696239x0411,UI/UX Design,""Burns, Owens And Santos University"",2026-07-19,Under Review"
"Dawn Luna,justinnguyen@example.com,0014743213929x56501,UI/UX Design,""Hubbard, Romero And Ramirez University"",2026-07-19,Selected"
"William Wilson,laurabarker@example.org,7616895966,Data Science,""Vargas, Whitaker And Peterson University"",2026-07-19,Selected"
"Christina Jones,kayleegutierrez@example.net,(442)6788088x46889,Web Development,Gross Plc University,2026-07-19,Rejected"
"Grace Bell,smithdaniel@example.org,2537942133,UI/UX Design,Holt Group University,2026-07-19,Rejected"
"Shannon Foley,katherine93@example.com,0019928165537x3675,Data Science,Wells Plc University,2026-07-19,Rejected"
"Mike Lara,ccherry@example.com,7435283266,Web Development,Giles And Sons University,2026-07-19,Rejected"
"Angela Taylor,allisongonzales@example.net,(643)8836023,UI/UX Design,Henderson-Long University,2026-07-19,Rejected"
"Jenny Jones,npark@example.net,7787001847x346,AI/ML,Alexander Inc University,2026-07-19,Rejected"
"Anna Wilson,blankenshipwilliam@example.net,(958)5427978,Data Science,""Glass, Ramos And Thompson University"",2026-07-19,Under Review"
"Carolyn Abbott,edwardsdiana@example.org,890.561.8999,UI/UX Design,Hanna And Sons University,2026-07-19,Under Review"
"Rachel Hall,tmitchell@example.net,3858271078x900,AI/ML,Howell And Sons University,2026-07-19,Rejected"
"Jacob Ward,smithfelicia@example.com,+19558074018,Web Development,""Davies, Davis And Jackson University"",2026-07-19,Rejected"
